                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.58947,                 1.1509,                0.74345,                 1.1241,                0.66496,                 0.7807,                0.77887,                0.62902,                0.78516,                0.69463,                0.78797,                0.59692,                0.85324,                 1.7393,                 1.4807,                 1.4445,             0.00048888,             0.00048888,             0.00048888
                     25,                0.57471,                 1.1215,                0.72745,                 1.1184,                0.75288,                0.69853,                0.77476,                0.61579,                0.80067,                0.66177,                0.78407,                0.58618,                0.94175,                 1.8181,                 1.4513,                 1.5876,             0.00048269,             0.00048269,             0.00048269
                     26,                 0.5787,                  1.093,                0.72603,                 1.1218,                0.73284,                0.79747,                0.83264,                0.62987,                0.74693,                0.80994,                0.84765,                 0.6146,                0.86661,                 1.8391,                 1.2314,                 1.4953,              0.0004765,              0.0004765,              0.0004765
                     27,                0.57114,                  1.076,                0.69911,                 1.1067,                0.86357,                0.79138,                0.84126,                 0.6512,                 0.8645,                0.78805,                0.84235,                 0.6218,                0.86252,                 1.9971,                 1.1964,                 1.4727,             0.00047031,             0.00047031,             0.00047031
                     28,                0.56716,                 1.1153,                 0.7086,                 1.1095,                0.82802,                0.73544,                 0.8413,                0.65447,                0.85984,                 0.7248,                0.85116,                 0.6188,                0.81548,                 1.8937,                 1.1643,                 1.4296,             0.00046413,             0.00046413,             0.00046413
                     29,                 0.5514,                 1.0422,                0.67356,                  1.101,                0.83285,                0.79565,                0.85083,                0.63648,                0.79729,                0.77504,                0.82055,                0.62027,                0.88125,                 1.8643,                 1.2017,                 1.4941,             0.00045794,             0.00045794,             0.00045794
                     30,                0.55257,                 1.0424,                0.66782,                 1.1017,                0.82159,                0.80187,                0.83503,                0.66181,                0.82915,                0.80661,                0.85215,                0.63338,                0.83176,                 1.8299,                 1.1641,                 1.4161,             0.00045175,             0.00045175,             0.00045175
                     31,                0.54468,                 1.0309,                 0.6306,                  1.094,                0.79852,                0.78651,                0.85998,                0.66457,                0.79852,                0.78651,                 0.8495,                0.63491,                0.78431,                  1.948,                 1.1814,                 1.3827,             0.00044556,             0.00044556,             0.00044556
                     32,                0.55412,                 1.0202,                0.65119,                 1.1047,                0.68437,                0.80191,                0.81901,                0.64621,                0.78111,                0.72664,                0.83402,                0.62109,                0.86737,                 1.8655,                 1.2992,                 1.4714,             0.00043937,             0.00043937,             0.00043937
                     33,                0.54588,                 1.0263,                0.63183,                 1.0937,                0.77892,                0.72116,                0.80933,                0.64329,                0.81885,                0.74537,                0.83898,                 0.6199,                0.83458,                 1.8396,                  1.208,                 1.3903,             0.00043319,             0.00043319,             0.00043319
                     34,                0.54516,                 1.0372,                0.62608,                 1.0914,                0.85144,                0.76239,                0.85053,                0.65446,                0.86115,                0.77249,                0.85429,                0.63475,                0.87978,                 1.9169,                 1.0493,                 1.5019,               0.000427,               0.000427,               0.000427
                     35,                0.53088,                 1.0082,                0.60929,                 1.0846,                0.84153,                0.79058,                0.84949,                0.66545,                0.82652,                0.81655,                0.85528,                0.63434,                0.86393,                  2.056,                 1.0694,                 1.4767,             0.00042081,             0.00042081,             0.00042081
                     36,                0.52442,                0.97107,                0.60545,                 1.0771,                0.87908,                0.82108,                0.90072,                0.71005,                0.88248,                0.82336,                0.90272,                0.67916,                0.76951,                 1.7872,                0.88855,                 1.3655,             0.00041462,             0.00041462,             0.00041462
                     37,                0.53148,                0.99107,                0.60222,                 1.0844,                0.82964,                0.74406,                0.86818,                0.65816,                0.82964,                0.74406,                0.86158,                0.63282,                0.79856,                 2.1836,                 1.1723,                 1.3793,             0.00040844,             0.00040844,             0.00040844
                     38,                0.53098,                0.96352,                0.61802,                  1.082,                0.83956,                0.79243,                0.87591,                0.69373,                0.85467,                0.81381,                0.87977,                0.66792,                0.80902,                  1.839,                0.94089,                 1.4044,             0.00040225,             0.00040225,             0.00040225
                     39,                0.52445,                0.96157,                0.57919,                 1.0788,                0.82725,                0.77771,                0.85499,                0.65188,                0.83858,                 0.7841,                0.87084,                0.63652,                0.85497,                 1.9216,                0.98233,                 1.4643,             0.00039606,             0.00039606,             0.00039606
                     40,                0.51431,                 0.9618,                0.57788,                 1.0728,                0.81745,                0.80586,                 0.8554,                0.66666,                0.82842,                0.83975,                0.88203,                0.65889,                0.85455,                 1.9504,                0.97866,                 1.4295,             0.00038988,             0.00038988,             0.00038988
                     41,                0.50613,                0.92588,                0.55438,                 1.0664,                 0.8026,                0.75844,                0.83583,                0.65809,                 0.8026,                0.75844,                  0.835,                0.62823,                0.83994,                 1.9646,                  1.196,                 1.4206,             0.00038369,             0.00038369,             0.00038369
                     42,                0.51651,                0.94991,                0.57483,                 1.0729,                0.88759,                0.78376,                 0.8685,                0.67234,                0.77499,                0.83799,                0.85914,                0.65151,                0.84459,                 1.9314,                 1.0126,                 1.4585,              0.0003775,              0.0003775,              0.0003775
                     43,                0.51893,                 0.9459,                0.55718,                 1.0745,                0.87539,                0.77241,                0.83926,                0.63986,                0.88621,                0.78251,                0.84342,                0.63143,                0.83322,                  1.847,                 1.3295,                 1.4204,             0.00037131,             0.00037131,             0.00037131
                     44,                0.50064,                0.92033,                0.54693,                  1.058,                0.92925,                0.75501,                0.86294,                0.67729,                0.92925,                0.75501,                0.86436,                0.64348,                0.86875,                 2.0846,                 1.1797,                 1.4447,             0.00036513,             0.00036513,             0.00036513
                     45,                0.50964,                0.93744,                0.56316,                 1.0642,                0.82498,                 0.7674,                0.82809,                0.63614,                0.80277,                 0.7524,                0.80195,                0.61212,                0.86543,                 2.1441,                 1.2877,                 1.4874,             0.00035894,             0.00035894,             0.00035894
                     46,                0.51292,                 0.9212,                0.54191,                 1.0688,                0.84268,                0.76591,                0.84684,                0.66281,                0.91353,                0.73707,                0.85518,                0.63547,                0.84694,                 2.0469,                 1.1141,                 1.4761,             0.00035275,             0.00035275,             0.00035275
                     47,                0.49197,                 0.8813,                0.52635,                  1.053,                0.89385,                0.76958,                0.87481,                0.68027,                0.90267,                0.77968,                0.88455,                0.66456,                0.74958,                 1.8125,                0.93694,                 1.3171,             0.00034656,             0.00034656,             0.00034656
                     48,                0.49395,                0.88073,                0.52389,                 1.0543,                0.91464,                0.74826,                0.86772,                0.68952,                0.92523,                0.75759,                0.87978,                0.66752,                0.81062,                 1.8821,                 1.0407,                  1.404,             0.00034038,             0.00034038,             0.00034038
                     49,                0.48736,                 0.8773,                0.50993,                 1.0531,                0.89878,                0.77462,                0.84852,                0.65612,                0.90924,                0.78472,                0.86384,                0.64646,                0.82361,                 1.8442,                 1.1775,                 1.4411,             0.00033419,             0.00033419,             0.00033419
                     50,                0.48963,                0.88097,                0.51642,                 1.0514,                0.92256,                0.74692,                0.84167,                0.62782,                0.92917,                0.74399,                0.85186,                0.62214,                0.90297,                 1.9231,                  1.127,                  1.534,               0.000328,               0.000328,               0.000328
                     51,                0.49642,                 0.8778,                 0.5136,                 1.0546,                0.85844,                 0.7454,                0.83878,                0.62674,                  0.868,                 0.7555,                 0.8527,                0.63191,                0.87354,                  1.805,                  1.237,                 1.4979,             0.00032181,             0.00032181,             0.00032181
                     52,                0.49201,                0.88393,                0.50524,                  1.052,                0.85977,                0.79494,                0.86974,                0.69413,                0.86993,                 0.8048,                0.87933,                0.65722,                0.78948,                 2.0923,                 1.0083,                  1.388,             0.00031562,             0.00031562,             0.00031562
                     53,                0.47156,                0.84923,                0.48829,                 1.0386,                0.86095,                0.76047,                0.82606,                0.66929,                0.88287,                0.77725,                0.85049,                0.65608,                0.83824,                 1.9251,                 1.0599,                   1.43,             0.00030944,             0.00030944,             0.00030944
                     54,                0.47243,                0.83996,                0.48856,                 1.0398,                0.86813,                0.75917,                0.83872,                0.65865,                  0.879,                0.75722,                0.85043,                0.64464,                0.82203,                 2.0559,                 1.0778,                 1.4058,             0.00030325,             0.00030325,             0.00030325
                     55,                 0.4727,                0.84077,                 0.4919,                 1.0405,                 0.8757,                0.77424,                0.85057,                0.65569,                0.89705,                0.78939,                0.86561,                0.64378,                0.85911,                 1.9866,                  1.012,                  1.457,             0.00029706,             0.00029706,             0.00029706
                     56,                0.46931,                0.85722,                0.48288,                 1.0356,                0.79296,                0.79034,                0.83167,                0.65544,                0.82157,                0.81526,                0.86524,                0.63703,                0.83745,                 2.1068,                 1.1529,                 1.4421,             0.00029088,             0.00029088,             0.00029088
                     57,                0.46505,                 0.8383,                0.48835,                 1.0317,                0.82597,                0.73274,                0.80256,                0.62547,                0.83274,                0.73566,                0.81512,                0.61181,                0.91523,                 1.9978,                 1.2446,                 1.5439,             0.00028469,             0.00028469,             0.00028469
                     58,                0.47689,                0.85195,                0.48093,                 1.0389,                0.89053,                0.77014,                0.85633,                0.67311,                0.90113,                0.77986,                0.86744,                0.67253,                0.85451,                 1.7247,                   1.14,                 1.4425,              0.0002785,              0.0002785,              0.0002785
